date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:46	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	D:/Anispru/unpkg.com/aos@2.3.1/dist/aos.js	(from https://html.designingmedia.com/yogastic/index.html)
13:15:46	64156/64156	---M--	200	added ('OK')	application/javascript	date:Thu,%2027%20Oct%202022%2008:37:10%20GMT	https://html.designingmedia.com/yogastic/assets/js/video-popup.js	D:/Anispru/html.designingmedia.com/yogastic/assets/js/video-popup.js	(from https://html.designingmedia.com/yogastic/index.html)
13:15:46	237/237	---M--	200	added ('OK')	application/javascript	date:Thu,%2027%20Oct%202022%2008:37:10%20GMT	https://html.designingmedia.com/yogastic/assets/js/video-section.js	D:/Anispru/html.designingmedia.com/yogastic/assets/js/video-section.js	(from https://html.designingmedia.com/yogastic/index.html)
13:15:47	80/80	---M--	200	added ('OK')	application/javascript	date:Thu,%2027%20Oct%202022%2008:37:08%20GMT	https://html.designingmedia.com/yogastic/assets/js/animation.js	D:/Anispru/html.designingmedia.com/yogastic/assets/js/animation.js	(from https://html.designingmedia.com/yogastic/index.html)
13:15:47	696407/696407	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Oct%202022%2008:37:06%20GMT	https://html.designingmedia.com/yogastic/assets/images/subscribe_image.png	D:/Anispru/html.designingmedia.com/yogastic/assets/images/subscribe_image.png	(from https://html.designingmedia.com/yogastic/index.html)
13:15:47	147/147	---M--	200	added ('OK')	application/javascript	date:Thu,%2027%20Oct%202022%2008:37:08%20GMT	https://html.designingmedia.com/yogastic/assets/js/type.js	D:/Anispru/html.designingmedia.com/yogastic/assets/js/type.js	(from https://html.designingmedia.com/yogastic/index.html)
13:15:47	677/677	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2003%20Jan%202023%2007:45:47%20GMT	https://html.designingmedia.com/ms-icon-144x144.png	D:/Anispru/html.designingmedia.com/ms-icon-144x144.html	(from https://html.designingmedia.com/yogastic/index.html)
13:15:48	98455/98455	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Oct%202022%2008:37:00%20GMT	https://html.designingmedia.com/yogastic/assets/images/banner_section_background.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/banner_section_background.jpg	(from https://html.designingmedia.com/yogastic/assets/css/style.css)
13:15:49	93411/93411	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Oct%202022%2008:37:02%20GMT	https://html.designingmedia.com/yogastic/assets/images/get_in_touch_image.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/get_in_touch_image.jpg	(from https://html.designingmedia.com/yogastic/assets/css/style.css)
13:15:49	62713/62713	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Oct%202022%2008:37:06%20GMT	https://html.designingmedia.com/yogastic/assets/images/testimonial_background.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/testimonial_background.jpg	(from https://html.designingmedia.com/yogastic/assets/css/style.css)
